Groupe 12967 red
Point 6.28082 0.814265 red
Point 6.21956 0.814666 red
Point 6.16006 0.836257 red
Point 6.10494 0.87176 red
Point 6.0535 0.911248 red
Point 6.00508 0.944884 red
Point 5.95914 0.967603 red
Point 5.91538 0.980963 red
Point 5.87353 0.987006 red
Point 5.83329 0.987778 red
Point 5.79438 0.985322 red
Point 5.75202 0.981673 red
Point 5.70139 0.979196 red
Point 5.64218 0.981093 red
Point 5.57583 0.990816 red
Point 5.50531 1.01087 red
Point 5.43376 1.04211 red
Point 5.36298 1.08436 red
Point 5.29457 1.13599 red
Point 5.2292 1.19357 red
Point 5.16471 1.25631 red
Point 5.10008 1.32324 red
Point 5.03491 1.39313 red
Point 4.9691 1.46458 red
Point 4.90278 1.53605 red
Point 4.83626 1.60588 red
Point 4.76999 1.67232 red
Point 4.70432 1.73387 red
Point 4.63887 1.79054 red
Point 4.57403 1.84192 red
Point 4.51033 1.88755 red
Point 4.4484 1.92703 red
Point 4.38892 1.95998 red
Point 4.3327 1.98616 red
Point 4.28064 2.00545 red
Point 4.23367 2.018 red
Point 4.19265 2.02428 red
Point 4.1582 2.02512 red
Point 4.12984 2.02175 red
Point 4.10347 2.01537 red
Point 4.07788 2.00627 red
Point 4.05273 1.9945 red
Point 4.02799 1.98003 red
Point 4.00385 1.96288 red
Point 3.98069 1.94317 red
Point 3.95898 1.92115 red
Point 3.93924 1.89721 red
Point 3.92198 1.87189 red
Point 3.90766 1.84583 red
Point 3.89663 1.81978 red
Point 3.8891 1.79456 red
Point 3.885 1.77074 red
Point 3.88295 1.74523 red
Point 3.8825 1.71607 red
Point 3.88385 1.68255 red
Point 3.8873 1.6443 red
Point 3.89308 1.60129 red
Point 3.90134 1.55366 red
Point 3.91209 1.50168 red
Point 3.92525 1.44565 red
Point 3.94062 1.38588 red
Point 3.95793 1.32266 red
Point 3.97684 1.25623 red
Point 3.99696 1.18678 red
Point 4.01789 1.11446 red
Point 4.03914 1.03945 red
Point 4.06022 0.96182 red
Point 4.08063 0.881569 red
Point 4.09981 0.798612 red
Point 4.11712 0.71281 red
Point 4.13187 0.623971 red
Point 4.14323 0.53186 red
Point 4.15024 0.436237 red
Point 4.15174 0.336913 red
Point 4.14638 0.233844 red
Point 4.13261 0.127265 red
Point 4.10877 0.017854 red
Point 4.07326 -0.09311 red
Point 4.02646 -0.20074 red
Point 3.97037 -0.30141 red
Point 3.90607 -0.3949 red
Point 3.83441 -0.48112 red
Point 3.75606 -0.56 red
Point 3.67154 -0.63144 red
Point 3.58121 -0.69527 red
Point 3.48535 -0.75118 red
Point 3.38415 -0.79873 red
Point 3.27783 -0.83731 red
Point 3.16663 -0.86609 red
Point 3.05097 -0.88407 red
Point 2.93154 -0.89006 red
Point 2.81168 -0.8831 red
Point 2.69618 -0.86399 red
Point 2.58575 -0.83408 red
Point 2.48074 -0.79455 red
Point 2.38133 -0.74636 red
Point 2.2876 -0.69026 red
Point 2.19963 -0.6268 red
Point 2.11757 -0.55635 red
